session_id,condition_a,condition_b,n_units,n_bins_a,n_bins_b,wj_unsigned,binary_jaccard_top5,type1_gap,tversky_a_weighted,tversky_b_weighted,type3_asymmetry_gap
ses-715093703,natural_scenes_presentations_13.0,spontaneous_presentations_spontaneous,1778,4220,12365,0.43272238969802856,0.17504946370925753,0.257672925988771,0.2979439914923786,0.2979439914923786,0.0
ses-715093703,natural_scenes_presentations_13.0,static_gratings_presentations_8.0,1778,4220,3840,0.46833521127700806,0.2253420619900096,0.24299314928699844,0.3678027042082342,0.3678027042082342,0.0
ses-715093703,natural_scenes_presentations_13.0,static_gratings_presentations_11.0,1778,4220,3840,0.4901307225227356,0.2781540005016303,0.2119767220211053,0.43524332810047095,0.43524332810047095,0.0
ses-715093703,natural_scenes_presentations_13.0,static_gratings_presentations_14.0,1778,4220,4320,0.5044952034950256,0.26472872250998725,0.2397664809850384,0.4186332101078645,0.4186332101078645,0.0
ses-715093703,spontaneous_presentations_spontaneous,static_gratings_presentations_8.0,1778,12365,3840,0.43770840764045715,0.1859258758792574,0.25178253176119975,0.31355395756317417,0.31355395756317417,0.0
ses-715093703,spontaneous_presentations_spontaneous,static_gratings_presentations_11.0,1778,12365,3840,0.45843324065208435,0.2258460010397995,0.23258723961228486,0.3684736922064111,0.3684736922064111,0.0
ses-715093703,spontaneous_presentations_spontaneous,static_gratings_presentations_14.0,1778,12365,4320,0.42768505215644836,0.1687122237758099,0.25897282838063845,0.28871474147971843,0.28871474147971843,0.0
ses-715093703,static_gratings_presentations_8.0,static_gratings_presentations_11.0,1778,3840,3840,0.5243417024612427,0.28944210912949436,0.2348995933317483,0.4489416113840077,0.4489416113840077,0.0
ses-715093703,static_gratings_presentations_8.0,static_gratings_presentations_14.0,1778,3840,4320,0.5706759095191956,0.4569533980761604,0.11372251144303513,0.6272724970881652,0.6272724970881652,0.0
ses-715093703,static_gratings_presentations_11.0,static_gratings_presentations_14.0,1778,3840,4320,0.527829110622406,0.2884640480229675,0.23936506259943852,0.4477642173494708,0.4477642173494708,0.0
ses-719161530,drifting_gratings_presentations_2.0,drifting_gratings_presentations_5.0,2245,4000,4000,0.4187845289707184,0.39986328700281765,0.018921241967900737,0.5712890547461194,0.5712890547461194,0.0
ses-719161530,drifting_gratings_presentations_2.0,drifting_gratings_presentations_7.0,2245,4000,4560,0.4636896550655365,0.5302229512180305,-0.06653329615249404,0.6930009130969867,0.6930009130969867,0.0
ses-719161530,drifting_gratings_presentations_2.0,flashes_presentations_1.0,2245,4000,300,0.3461869955062866,0.3756587750197974,-0.029471779513510765,0.5461510977013776,0.5461510977013776,0.0
ses-719161530,drifting_gratings_presentations_2.0,gabors_presentations_0.0,2245,4000,7290,0.39828383922576904,0.415120309664661,-0.01683647043889197,0.586692603914407,0.586692603914407,0.0
ses-719161530,drifting_gratings_presentations_2.0,natural_scenes_presentations_9.0,2245,4000,3840,0.42131277918815613,0.5114276628044426,-0.0901148836162865,0.6767477867323037,0.6767477867323037,0.0
ses-719161530,drifting_gratings_presentations_2.0,natural_scenes_presentations_10.0,2245,4000,3840,0.3391888439655304,0.48403669292359175,-0.14484784895806135,0.6523244273293898,0.6523244273293898,0.0
ses-719161530,drifting_gratings_presentations_2.0,natural_scenes_presentations_13.0,2245,4000,4220,0.343908429145813,0.47531862056039736,-0.13141019141458438,0.6443606336099091,0.6443606336099091,0.0
ses-719161530,drifting_gratings_presentations_2.0,spontaneous_presentations_spontaneous,2245,4000,12365,0.39841359853744507,0.48575237263842114,-0.08733877410097607,0.6538806621938148,0.6538806621938148,0.0
ses-719161530,drifting_gratings_presentations_2.0,static_gratings_presentations_8.0,2245,4000,3840,0.4033185541629791,0.4838006597549482,-0.08048210559196906,0.6521100480368415,0.6521100480368415,0.0
ses-719161530,drifting_gratings_presentations_2.0,static_gratings_presentations_11.0,2245,4000,3840,0.3862419128417969,0.5016871549678665,-0.11544524212606966,0.6681646750565723,0.6681646750565723,0.0
ses-719161530,drifting_gratings_presentations_2.0,static_gratings_presentations_14.0,2245,4000,4320,0.3836787939071655,0.49006779219857316,-0.10638899829140763,0.6577791893286752,0.6577791893286752,0.0
ses-719161530,drifting_gratings_presentations_5.0,drifting_gratings_presentations_7.0,2245,4000,4560,0.4777347147464752,0.4941158326808551,-0.016381117934379907,0.6614156973281988,0.6614156973281988,0.0
ses-719161530,drifting_gratings_presentations_5.0,flashes_presentations_1.0,2245,4000,300,0.4116170108318329,0.3509136056720244,0.06070340515980849,0.5195204255825956,0.5195204255825956,0.0
ses-719161530,drifting_gratings_presentations_5.0,gabors_presentations_0.0,2245,4000,7290,0.4460417330265045,0.42061925441317466,0.025422478613329857,0.5921632458612887,0.5921632458612887,0.0
ses-719161530,drifting_gratings_presentations_5.0,natural_scenes_presentations_9.0,2245,4000,3840,0.4501288831233978,0.44934290777693386,0.0007859753464639629,0.6200643137877645,0.6200643137877645,0.0
ses-719161530,drifting_gratings_presentations_5.0,natural_scenes_presentations_10.0,2245,4000,3840,0.4839707314968109,0.5113369773260453,-0.027366245829234415,0.676668386994323,0.676668386994323,0.0
ses-719161530,drifting_gratings_presentations_5.0,natural_scenes_presentations_13.0,2245,4000,4220,0.458865761756897,0.46071455495439073,-0.0018487931974937588,0.6308070983365754,0.6308070983365754,0.0
ses-719161530,drifting_gratings_presentations_5.0,spontaneous_presentations_spontaneous,2245,4000,12365,0.470873087644577,0.4520164172565658,0.018856670388011254,0.6226051054031522,0.6226051054031522,0.0
ses-719161530,drifting_gratings_presentations_5.0,static_gratings_presentations_8.0,2245,4000,3840,0.5187255144119263,0.5261713330142324,-0.007445818602306087,0.689531144547223,0.689531144547223,0.0
ses-719161530,drifting_gratings_presentations_5.0,static_gratings_presentations_11.0,2245,4000,3840,0.4653787612915039,0.47518901792668855,-0.009810256635184644,0.6442415340029378,0.6442415340029378,0.0
ses-719161530,drifting_gratings_presentations_5.0,static_gratings_presentations_14.0,2245,4000,4320,0.4509238600730896,0.44427370617983325,0.00665015389325635,0.6152209297709318,0.6152209297709318,0.0
ses-719161530,drifting_gratings_presentations_7.0,flashes_presentations_1.0,2245,4560,300,0.39045006036758423,0.4206993795826283,-0.03024931921504409,0.5922426455992695,0.5922426455992695,0.0
ses-719161530,drifting_gratings_presentations_7.0,gabors_presentations_0.0,2245,4560,7290,0.48067134618759155,0.531153121390797,-0.0504817752032054,0.6937949104767954,0.6937949104767954,0.0
ses-719161530,drifting_gratings_presentations_7.0,natural_scenes_presentations_9.0,2245,4560,3840,0.5462119579315186,0.7131994368457923,-0.1669874789142738,0.832593592441145,0.832593592441145,0.0
ses-719161530,drifting_gratings_presentations_7.0,natural_scenes_presentations_10.0,2245,4560,3840,0.4545013904571533,0.6830479143141591,-0.2285465238570058,0.8116797014569852,0.8116797014569852,0.0
ses-719161530,drifting_gratings_presentations_7.0,natural_scenes_presentations_13.0,2245,4560,4220,0.46264535188674927,0.6871738882897848,-0.2245285364030355,0.8145857318670848,0.8145857318670848,0.0
ses-719161530,drifting_gratings_presentations_7.0,spontaneous_presentations_spontaneous,2245,4560,12365,0.5047569870948792,0.6414904986575607,-0.13673351156268154,0.7815951407360355,0.7815951407360355,0.0
ses-719161530,drifting_gratings_presentations_7.0,static_gratings_presentations_8.0,2245,4560,3840,0.5679234862327576,0.7257586034434328,-0.15783511721067522,0.8410893644050975,0.8410893644050975,0.0
ses-719161530,drifting_gratings_presentations_7.0,static_gratings_presentations_11.0,2245,4560,3840,0.5196571350097656,0.7280317218574849,-0.20837458684771926,0.8426138393743301,0.8426138393743301,0.0
ses-719161530,drifting_gratings_presentations_7.0,static_gratings_presentations_14.0,2245,4560,4320,0.5103899240493774,0.6844322589273772,-0.1740423348779998,0.8126563182341499,0.8126563182341499,0.0
ses-719161530,flashes_presentations_1.0,gabors_presentations_0.0,2245,300,7290,0.4165399372577667,0.4069237471793382,0.00961619007842851,0.5784588510857914,0.5784588510857914,0.0
